Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
62987,1424,1332,13,0,69,10,Illinois,757,667,40.7,72500.0,501.0,50207.0
62060,4586,1753,2670,5,145,13,Illinois,2150,2436,38.6,41200.0,1973.0,34794.0
62022,1060,1014,0,0,23,23,Illinois,546,514,48.7,150500.0,449.0,71089.0
62036,803,803,0,0,0,0,Illinois,450,353,56.4,155100.0,351.0,76757.0
62054,781,708,0,0,73,0,Illinois,474,307,45.7,83500.0,271.0,60490.0
62081,354,354,0,0,0,0,Illinois,181,173,33.4,79500.0,130.0,61832.0
62091,380,380,0,0,0,0,Illinois,173,207,36.0,72500.0,146.0,97736.0
62092,2932,2889,32,0,11,0,Illinois,1365,1567,49.3,58000.0,1194.0,53324.0
62956,911,881,16,0,3,11,Illinois,424,487,31.3,63300.0,289.0,62331.0
62957,931,889,36,0,6,0,Illinois,494,437,40.7,55400.0,320.0,41389.0
62960,10959,10037,579,20,316,7,Illinois,5087,5872,43.4,87400.0,4582.0,55545.0
62962,9,9,0,0,0,0,Illinois,5,4,,,5.0,
62963,653,298,346,4,5,0,Illinois,318,335,40.8,38900.0,258.0,38659.0
62984,1643,1571,12,0,33,27,Illinois,782,861,40.6,65200.0,684.0,59463.0
62988,1570,1208,285,0,49,28,Illinois,769,801,50.1,67400.0,516.0,54049.0
62011,172,172,0,0,0,0,Illinois,100,72,53.0,,71.0,60537.0
62016,3674,3611,26,0,37,0,Illinois,1826,1848,39.7,96500.0,1380.0,66742.0
62017,897,883,0,0,3,11,Illinois,465,432,48.4,83100.0,444.0,46728.0
62021,920,920,0,0,0,0,Illinois,462,458,52.8,187000.0,383.0,85827.0
62028,1279,1203,37,6,23,10,Illinois,637,642,21.5,127100.0,332.0,66860.0
62838,1816,1778,0,0,34,4,Illinois,855,961,38.6,68300.0,706.0,54958.0
62818,263,261,0,0,2,0,Illinois,130,133,53.4,71500.0,122.0,55768.0
62819,408,397,0,0,11,0,Illinois,215,193,46.1,54000.0,186.0,38505.0
62821,7175,7009,63,40,57,6,Illinois,3564,3611,47.1,75600.0,3186.0,57975.0
62843,123,123,0,0,0,0,Illinois,65,58,46.3,38300.0,54.0,47520.0
62859,5829,5651,31,49,0,98,Illinois,2925,2904,44.3,95900.0,2420.0,65091.0
62865,1977,1942,3,0,15,17,Illinois,1010,967,48.4,112900.0,829.0,64050.0
62881,10842,10431,72,86,160,93,Illinois,5346,5496,41.3,83200.0,4624.0,61123.0
62883,899,899,0,0,0,0,Illinois,488,411,41.4,,330.0,73143.0
62896,12167,11781,134,52,159,41,Illinois,5850,6317,43.0,70800.0,5130.0,47345.0
62899,1900,1824,38,19,18,1,Illinois,1029,871,33.0,81300.0,750.0,64755.0
62901,26217,17042,6656,1239,864,416,Illinois,13349,12868,25.2,117300.0,10489.0,49266.0
62905,505,433,0,29,0,43,Illinois,239,266,50.3,110100.0,240.0,68560.0
62953,313,279,23,0,11,0,Illinois,164,149,40.3,61300.0,110.0,36527.0
62231,7436,6992,133,46,82,183,Illinois,3713,3723,42.2,135500.0,2969.0,65491.0
62238,619,613,0,0,6,0,Illinois,318,301,37.9,59700.0,241.0,53608.0
62249,15507,14828,248,295,94,42,Illinois,7873,7634,40.1,170200.0,6142.0,86617.0
62266,87,87,0,0,0,0,Illinois,43,44,39.0,,30.0,
62321,3845,3721,19,17,69,19,Illinois,1868,1977,45.1,93900.0,1689.0,66148.0
62271,2153,2072,53,0,28,0,Illinois,1036,1117,41.0,113800.0,921.0,80307.0
62294,14117,13222,298,219,359,19,Illinois,6657,7460,38.0,189700.0,5203.0,92722.0
62316,545,539,6,0,0,0,Illinois,294,251,42.4,52600.0,207.0,55409.0
62330,1746,1671,44,10,21,0,Illinois,870,876,50.1,76300.0,778.0,58265.0
61367,739,728,2,2,0,7,Illinois,343,396,46.3,134500.0,352.0,71788.0
62433,927,921,0,0,3,3,Illinois,465,462,48.3,73800.0,429.0,61857.0
62443,1678,1651,11,0,13,3,Illinois,881,797,38.9,133500.0,619.0,63271.0
62445,1290,1275,0,12,0,3,Illinois,677,613,36.5,110400.0,476.0,63492.0
62458,1979,1964,2,0,13,0,Illinois,974,1005,47.6,82500.0,803.0,53574.0
62460,1154,1152,0,2,0,0,Illinois,558,596,40.8,76600.0,500.0,60785.0
62521,35529,27541,5905,306,1533,244,Illinois,17238,18291,42.6,100500.0,14878.0,74236.0
62537,76,76,0,0,0,0,Illinois,35,41,50.5,93800.0,37.0,48689.0
62539,1297,1262,0,0,35,0,Illinois,626,671,43.0,96500.0,523.0,70815.0
62540,1567,1562,0,0,3,2,Illinois,786,781,40.9,81400.0,665.0,56817.0
62546,1624,1595,0,0,22,7,Illinois,794,830,40.7,88700.0,659.0,71471.0
63675,194,194,0,0,0,0,Missouri,96,98,57.2,63800.0,91.0,37251.0
63738,31,31,0,0,0,0,Missouri,31,0,,,31.0,
63763,145,145,0,0,0,0,Missouri,77,68,36.0,101400.0,65.0,66338.0
63764,5349,5106,68,41,51,83,Missouri,2576,2773,44.8,101900.0,2028.0,48447.0
63783,122,122,0,0,0,0,Missouri,47,75,44.5,184100.0,44.0,117693.0
63933,3423,3368,10,0,45,0,Missouri,1771,1652,46.5,67000.0,1432.0,43141.0
63936,948,931,0,7,7,3,Missouri,450,498,32.3,70000.0,341.0,59171.0
63939,1473,1369,11,0,60,33,Missouri,751,722,42.6,73100.0,574.0,38615.0
63944,1571,1492,8,0,71,0,Missouri,821,750,52.4,81800.0,653.0,41349.0
63952,451,389,0,0,62,0,Missouri,233,218,28.8,136100.0,149.0,58641.0
63743,80,80,0,0,0,0,Missouri,50,30,55.5,177800.0,28.0,103314.0
63748,962,947,15,0,0,0,Missouri,462,500,47.5,133000.0,399.0,62083.0
63769,1391,1367,4,1,18,1,Missouri,708,683,45.0,121000.0,502.0,67227.0
63787,823,823,0,0,0,0,Missouri,420,403,42.4,83100.0,298.0,50719.0
63820,122,119,2,0,1,0,Missouri,52,70,50.0,31700.0,57.0,34291.0
63821,874,787,0,0,32,55,Missouri,495,379,35.0,42000.0,343.0,37564.0
63833,170,152,15,3,0,0,Missouri,77,93,57.5,,96.0,50113.0
63839,429,418,0,0,1,10,Missouri,218,211,33.8,61300.0,176.0,49740.0
63860,170,170,0,0,0,0,Missouri,78,92,53.9,31200.0,84.0,23317.0
63870,974,771,126,0,58,19,Missouri,560,414,36.1,64100.0,357.0,45193.0
63878,109,107,0,2,0,0,Missouri,61,48,25.5,29200.0,38.0,38482.0
63935,9770,9417,41,33,185,94,Missouri,4838,4932,44.1,93100.0,3683.0,44845.0
63951,144,144,0,0,0,0,Missouri,93,51,54.0,63300.0,116.0,18168.0
63966,2327,2244,0,64,19,0,Missouri,1257,1070,48.0,65400.0,1000.0,43992.0
63026,43287,41035,420,797,798,237,Missouri,21445,21842,40.4,193100.0,16579.0,93167.0
63044,10536,7733,2170,233,241,159,Missouri,4881,5655,41.8,161700.0,3987.0,75660.0
63049,17398,16461,48,341,472,76,Missouri,8527,8871,38.9,157800.0,6534.0,80434.0
63052,27400,26001,62,330,808,199,Missouri,13527,13873,36.7,175100.0,9870.0,81874.0
63102,2201,1098,858,146,66,33,Missouri,1551,650,31.4,,983.0,55309.0
